City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Cloudiness Numberical,Wind Speed,Country,Date
196,kabompo,-13.5927,24.2008,68.47,96,light rain,96,5.97,ZM,2025-03-06 15:18:24
197,smithers,54.7804,-127.1743,39.52,60,broken clouds,75,4.61,CA,2025-03-06 15:18:25
198,kawalu,-7.3817,108.2082,71.04,98,overcast clouds,100,2.04,ID,2025-03-06 15:18:26
199,stephenville,32.2207,-98.2023,67.24,26,clear sky,0,18.41,US,2025-03-06 15:18:27
200,ndjole,-0.1783,10.7649,77.4,94,overcast clouds,100,1.28,GA,2025-03-06 15:18:29
201,port lincoln,-34.7333,135.8667,64.2,86,scattered clouds,30,16.15,AU,2025-03-06 15:18:31
202,palmer,42.1584,-72.3287,50.9,60,overcast clouds,100,10.36,US,2025-03-06 15:18:32
203,vila franca do campo,37.7167,-25.4333,53.31,71,broken clouds,51,23.85,PT,2025-03-06 15:18:33
204,cabo san lucas,22.8909,-109.9124,80.91,31,broken clouds,75,11.5,MX,2025-03-06 15:18:34
205,lorengau,-2.0226,147.2712,81.54,74,broken clouds,73,8.79,PG,2025-03-06 15:18:35
206,aioun,16.6614,-9.6149,86.95,20,few clouds,24,8.46,MR,2025-03-06 15:18:36
207,suances,43.4334,-4.0434,64.24,45,clear sky,0,10.36,ES,2025-03-06 15:18:37
208,idri,27.5,13.2667,67.84,32,overcast clouds,100,12.19,LY,2025-03-06 15:18:38
209,ancud,-41.8697,-73.8203,58.17,72,overcast clouds,100,4.85,CL,2025-03-06 15:15:48
210,tazovsky,67.4667,78.7,-9.04,100,overcast clouds,98,5.37,RU,2025-03-06 15:18:41
211,fort bragg,35.139,-79.006,57.04,37,few clouds,20,21.85,US,2025-03-06 15:18:42
212,mount gambier,-37.8333,140.7667,63.07,83,broken clouds,78,5.82,AU,2025-03-06 15:18:44
213,uturoa,-16.7333,-151.4333,81.9,73,light rain,17,7.72,PF,2025-03-06 15:18:45
214,quepos,9.4236,-84.1652,85.59,66,broken clouds,73,9.91,CR,2025-03-06 15:18:46
215,axim,4.8699,-2.2405,81.36,82,overcast clouds,100,7.14,GH,2025-03-06 15:16:03
216,karmaskaly,54.3709,56.1837,21.11,98,overcast clouds,100,4.97,RU,2025-03-06 15:18:48
217,igarka,67.4667,86.5833,8.96,98,overcast clouds,100,4.18,RU,2025-03-06 15:18:49
218,antsiranana,-12.2787,49.2917,77.18,88,overcast clouds,97,7.63,MG,2025-03-06 15:18:50
219,east london,-33.0153,27.9116,75.7,82,broken clouds,67,13.67,ZA,2025-03-06 15:18:51
220,sinabang,2.4803,96.3801,77.49,89,broken clouds,56,9.04,ID,2025-03-06 15:18:53
221,sisimiut,66.9395,-53.6735,-3.08,97,broken clouds,71,4.74,GL,2025-03-06 15:18:54
222,thompson,55.7435,-97.8558,10.56,56,few clouds,20,13.8,CA,2025-03-06 15:18:55
223,tvoroyri,61.5556,-6.8111,38.82,98,moderate rain,100,32.68,FO,2025-03-06 15:18:56
224,lubao,14.9167,120.55,80.31,82,few clouds,19,4.99,PH,2025-03-06 15:18:57
225,kattivakkam,13.2167,80.3167,80.13,67,clear sky,6,2.8,IN,2025-03-06 15:18:58
226,fale old settlement,-9.3852,-171.2468,82.58,67,broken clouds,80,5.73,TK,2025-03-06 15:18:59
227,mocoreta,-30.6189,-57.9634,98.42,26,overcast clouds,89,14.14,AR,2025-03-06 15:19:00
